time,tx_rate,rx_rate
0.5007846355438232,0.0,0.0
1.0009679794311523,0.0,0.0
1.5017931461334229,0.0,0.0
2.009913921356201,0.0,0.0
2.5112292766571045,0.0,0.0
3.013230562210083,0.0,0.0
3.5141475200653076,0.0,0.0
4.015474557876587,0.0,0.0
4.519880056381226,0.0,0.0
5.020722389221191,0.0,0.0
5.5218346118927,0.0,0.0
6.028033018112183,0.0,0.0
6.530912399291992,0.0,0.0
7.034872055053711,0.0,0.0
7.5359883308410645,0.0,0.0
8.040503978729248,0.0,0.0
8.541242599487305,0.0,0.0
9.060642957687378,0.0,0.0
9.564175844192505,0.0,0.0
10.071660041809082,0.001248,0.0
10.576111316680908,0.0,0.0
11.080974102020264,0.0,0.0
11.58330750465393,0.0,0.0
12.092426061630249,0.0,0.0
12.596107482910156,0.0,0.0
13.096591711044312,0.0,0.0
13.601198196411133,0.0,0.0
14.102058172225952,0.0,0.0
14.604289293289185,0.0,0.0
15.104817390441895,3.178768,0.000672
15.605388402938843,4.984352,0.0
16.10567593574524,5.007216,0.0
16.605735301971436,4.984352,0.0
17.106220245361328,4.961488,0.0
17.606707334518433,5.007216,0.0
18.107115268707275,4.961488,0.0
18.607691526412964,4.984352,0.0
19.108137130737305,4.961488,0.0
19.608745574951172,4.984352,0.0
20.109322786331177,5.008464,0.0
20.60989260673523,5.007216,0.0
21.110471963882446,5.007216,0.0
21.61116862297058,4.984352,0.0
22.112048387527466,4.984352,0.0
22.612327337265015,4.984352,0.0
23.112871646881104,4.984352,0.0
23.61313509941101,4.984352,0.0
24.11355996131897,4.984352,0.0
24.614270210266113,5.007216,0.0
25.11473035812378,4.984352,0.0
25.615307331085205,4.984352,0.0
26.115930795669556,4.984352,0.0
26.616393089294434,4.984352,0.0
27.116799354553223,4.961488,0.0
27.617185592651367,4.961488,0.0
28.117532968521118,5.007216,0.0
28.618128061294556,4.984352,0.0
29.118508338928223,4.984352,0.0
29.619074821472168,4.961488,0.0
30.119826316833496,4.917008,0.0
30.620542287826538,4.938624,0.0
31.121114253997803,5.007216,0.0
31.621379137039185,5.007216,0.0
32.122040033340454,5.007216,0.0
32.62266421318054,4.984352,0.0
33.1231849193573,4.91576,0.0
33.624183177948,5.03008,0.0
34.12480640411377,4.961488,0.0
34.62537956237793,5.007216,0.0
35.12605142593384,5.007216,0.0
35.62659192085266,4.961488,0.0
36.12714505195618,4.984352,0.0
36.62807607650757,5.007216,0.0
37.12869095802307,4.961488,0.0
37.62925910949707,5.007216,0.0
38.130064725875854,4.984352,0.0
38.63053631782532,4.984352,0.0
39.13125419616699,4.984352,0.0
39.63178467750549,4.984352,0.0
40.13233160972595,4.986464,0.0
40.6328809261322,5.00808,0.0
41.133071184158325,5.007216,0.0
41.6335666179657,5.007216,0.0
42.134154319763184,4.984352,0.0
42.63470268249512,4.961488,0.0
43.135250091552734,4.961488,0.0
43.63575530052185,4.961488,0.0
44.13631796836853,4.961488,0.0
44.63688087463379,4.984352,0.0
45.137484312057495,3.544592,3.464048
45.639071464538574,0.0,5.007216
46.13964605331421,0.0,5.007216
46.63977384567261,0.0,4.984352
47.140756368637085,0.0,5.007216
47.64137315750122,0.0,4.984352
48.141942739486694,0.0,4.984352
48.643166303634644,0.0,5.007216
49.14411687850952,0.0,5.007216
49.64490103721619,0.0,5.007216
50.145331382751465,0.00192,4.96216
50.64589858055115,0.0,4.961488
51.1464729309082,0.0,5.007216
51.64706492424011,0.0,5.007216
52.14774441719055,0.0,4.961488
52.64815926551819,0.0,5.007216
53.148741006851196,0.0,4.91576
53.649213790893555,0.0,5.007216
54.149409770965576,0.0,5.007216
54.6499662399292,0.0,4.984352
55.15066599845886,0.0,5.007216
55.6512086391449,0.0,4.984352
56.151779651641846,0.0,5.007216
56.65213942527771,0.0,4.984352
57.1526255607605,0.0,4.984352
57.65317726135254,0.0,5.007216
58.153879165649414,0.0,5.007216
58.65427541732788,0.0,5.007216
59.15463304519653,0.0,4.984352
59.65515756607056,0.0,5.007216
60.15575170516968,0.001248,5.007216
60.65606331825256,0.0,4.984352
61.15723896026611,0.0,5.03008
61.65767288208008,0.0,4.984352
62.15835165977478,0.0,4.984352
62.661524057388306,0.0,4.984352
63.161937952041626,0.0,5.007216
63.66251516342163,0.0,5.007216
64.16305017471313,0.0,5.007216
64.66346764564514,0.0,4.984352
65.16395974159241,0.0,5.007216
65.66442155838013,0.0,5.007216
66.16479897499084,0.0,4.984352
66.66526651382446,0.0,5.007216
67.16600179672241,0.0,5.007216
67.66661381721497,0.0,5.007216
68.16717004776001,0.0,5.007216
68.66777205467224,0.0,5.007216
69.16835594177246,0.0,4.984352
69.66885352134705,0.001248,5.007216
70.16928720474243,0.0,5.007216
70.66998863220215,0.0,4.984352
71.17047548294067,0.0,5.007216
71.67105674743652,0.0,5.007216
72.17163944244385,0.0,5.007216
72.67218542098999,0.0,5.007216
73.17285013198853,0.0,5.007216
73.67342829704285,0.0,5.007216
74.17398476600647,0.0,4.984352
74.6745958328247,0.0,5.007216
75.17528748512268,0.05664,2.05776
75.67574715614319,0.0,0.0
76.17583417892456,0.0,0.0
76.67639565467834,0.0,0.0
77.17695927619934,0.000672,0.000672
77.67752194404602,0.0,0.0
78.17800307273865,0.0,0.0
78.67838311195374,0.0,0.0
79.17898559570312,0.0,0.0
79.67975902557373,0.001248,0.0
80.1801986694336,0.0,0.0
80.68076086044312,0.000672,0.000672
81.18125033378601,0.0,0.0
81.6817455291748,0.0,0.0
82.18232154846191,0.0,0.0
82.683340549469,0.0,0.0
