[('RTA_DST', '10.0.0.3'), ('RTA_PRIORITY', 0), ('RTA_OIF', 1)]
[('RTA_DST', '10.0.1.0'), ('RTA_PRIORITY', 5), ('RTA_GATEWAY', '10.0.3.1'), ('RTA_OIF', 5615)]
[('RTA_DST', '10.0.2.0'), ('RTA_PRIORITY', 0), ('RTA_OIF', 5617)]
[('RTA_DST', '10.0.3.0'), ('RTA_PRIORITY', 0), ('RTA_OIF', 5615)]
[('RTA_DST', '10.1.0.0'), ('RTA_PRIORITY', 11), ('RTA_GATEWAY', '10.0.3.1'), ('RTA_OIF', 5615)]
[('RTA_DST', '10.2.0.0'), ('RTA_PRIORITY', 13), ('RTA_GATEWAY', '10.0.2.1'), ('RTA_OIF', 5617)]
[('RTA_DST', '10.3.0.0'), ('RTA_PRIORITY', 0), ('RTA_OIF', 5619)]
[('RTA_DST', '45.0.0.0'), ('RTA_PRIORITY', 0), ('RTA_OIF', 2)]
[('RTA_DST', 'fe80::'), ('RTA_PRIORITY', 0), ('RTA_OIF', 5615)]
